,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Germany,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.14,4.75,5.05,5.65,6.15,6.14,5.58,5.92,6.33,7.56,8.33,9.24,9.22,10.82,11.19,12.56,15.64,16.45,18.04,18.49,22.36,24.96,26.16,28.40,31.60,31.55,35.53,37.21,42.24,46.35,41.68
"Germany, East",1.72,1.80,1.76,1.72,1.54,1.58,1.55,1.50,1.44,1.36,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Germany, West",5.93,6.20,5.99,5.61,5.32,4.90,5.13,5.26,5.12,5.10,4.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ghana,100.00,100.00,100.00,100.00,94.74,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.85,87.93,91.67,84.62,70.42,67.24,89.66,83.58,68.29,54.41,75.31,77.27,69.70,68.81,68.38,65.08,65.87,51.79,49.12,44.19,42.36,43.71,36.27,34.27
Gibraltar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Greece,15.89,15.89,16.67,10.31,12.66,10.85,12.21,10.07,8.16,6.15,5.49,9.09,6.52,6.59,7.16,9.33,11.11,9.76,8.88,10.45,8.55,6.00,7.30,10.91,10.71,11.50,13.43,7.72,9.55,14.09,20.37,15.13,17.76,26.92,26.09,31.25,30.00,27.45,30.00,35.56,41.86,41.51
Greenland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,40.00,50.00,50.00,50.00,66.67,66.67,50.00,50.00,50.00,60.00,75.00,75.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Grenada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guadeloupe,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,7.69,8.33,15.38,13.33,12.50,12.50,11.76,11.76,11.76,11.76,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guam,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guatemala,31.58,25.00,31.25,52.94,43.75,43.75,94.74,85.00,86.36,91.67,92.31,89.29,78.57,76.67,77.42,67.65,69.70,69.70,52.38,59.62,55.00,50.85,45.16,55.84,61.76,51.81,55.42,52.22,56.47,49.41,62.50,62.65,66.67,68.00,68.22,59.65,60.83,71.43,61.97,58.70,70.15,66.21
Guinea,33.33,33.33,33.33,50.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,50.00,50.00,57.14,57.14,55.56,60.00,44.44,55.56,55.56,55.56,55.56,55.56,55.56,55.56,50.00,71.43,71.43,57.14,81.82,68.75,70.59,53.33,61.90,78.13,71.43
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guyana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Haiti,100.00,100.00,60.00,60.00,60.00,60.00,60.00,60.00,50.00,50.00,57.14,50.00,60.00,60.00,50.00,50.00,42.86,33.33,50.00,50.00,60.00,50.00,50.00,50.00,50.00,50.00,50.00,40.00,40.00,28.57,33.33,16.67,20.00,10.00,0.00,0.00,0.00,10.00,20.00,20.00,11.11,10.00
Hawaiian Trade Zone,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Honduras,88.89,80.00,80.00,80.00,81.82,81.82,86.67,84.62,89.47,90.00,91.30,91.30,91.67,91.67,85.71,73.91,66.67,67.74,57.58,67.74,62.86,50.00,41.03,40.91,31.91,35.19,37.93,38.33,39.68,46.03,49.23,44.29,46.67,44.16,43.37,47.87,55.21,64.58,68.69,57.66,54.87,54.62
Hong Kong,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.29,0.57,0.60,0.57
Hungary,0.45,0.86,0.86,0.82,0.81,0.79,0.76,0.74,0.71,0.71,0.74,0.71,0.66,0.64,0.64,0.93,0.93,0.90,0.85,0.85,0.93,0.87,0.87,1.27,3.13,5.60,4.62,5.26,6.67,9.09,9.09,8.28,8.26,10.39,11.59,11.66,11.56,12.05,13.33,15.36,17.43,20.59
Iceland,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
India,39.17,37.88,34.53,34.36,32.96,29.03,27.65,22.63,24.87,24.24,25.76,23.98,21.84,20.59,22.42,18.20,16.73,17.01,17.62,16.27,14.31,13.82,13.40,13.84,14.88,17.01,17.97,16.64,17.29,16.49,16.16,16.73,15.18,16.82,15.68,14.24,15.08,15.97,16.83,18.69,19.61,20.02
Indonesia,16.67,19.46,15.73,17.13,16.67,16.03,18.83,16.15,18.26,21.41,18.22,17.75,20.41,17.47,16.23,17.54,17.19,11.32,17.33,16.05,16.85,18.56,15.53,13.89,14.04,14.05,12.70,13.24,13.99,14.09,16.77,12.64,15.66,16.82,15.18,14.72,16.39,17.06,17.91,17.20,18.28,18.30
Iran,25.93,26.72,23.36,19.61,17.85,17.85,17.38,17.36,14.41,14.47,10.71,11.48,14.37,13.53,9.56,9.45,8.98,7.85,7.53,4.81,3.23,4.14,6.02,7.59,6.96,9.52,9.89,9.33,2.52,3.55,4.37,5.31,5.43,5.73,5.12,5.00,5.88,4.90,5.21,5.28,5.23,4.70
Iraq,6.54,6.80,4.76,3.85,3.41,3.06,2.91,2.65,2.72,2.17,2.91,1.55,2.95,2.44,2.26,2.17,2.17,2.17,2.10,2.17,2.03,1.96,1.59,1.52,1.64,20.42,18.75,17.98,10.14,7.41,10.28,6.75,9.93,8.76,4.69,4.02,4.51,2.68,2.64,5.94,5.81,5.45
Ireland,8.25,9.28,8.08,8.16,7.00,7.48,8.26,5.98,7.56,5.51,5.11,5.11,5.41,5.41,5.66,4.19,4.49,4.26,5.94,5.47,5.41,4.35,5.98,4.76,5.98,7.95,9.80,10.45,12.59,15.71,13.36,20.45,20.15,23.08,25.49,28.32,25.68,30.00,33.33,40.00,41.94,33.33
Israel,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.51,0.79,0.97,1.64,1.87,2.55,2.80,2.76,4.03,5.42,6.85
Italy,27.67,26.98,25.77,25.66,26.39,25.35,24.54,22.75,25.14,18.78,17.33,21.74,21.60,21.53,22.12,18.58,20.26,20.09,19.50,21.14,19.92,21.32,18.63,16.79,19.64,17.79,17.87,16.84,19.87,25.82,26.99,28.87,32.29,40.50,45.02,40.15,38.93,36.71,41.07,36.36,43.43,41.82
Jamaica,11.11,11.11,11.11,10.00,5.26,6.25,11.76,10.53,10.53,9.52,8.33,9.52,9.09,5.56,4.44,3.64,3.51,3.39,3.28,3.23,3.23,1.61,1.54,1.49,2.94,2.86,4.23,3.57,7.50,5.00,5.13,7.50,7.69,7.50,7.69,7.69,9.52,12.20,12.20,11.90,14.63,13.95
Japan,16.18,16.03,16.43,16.01,13.71,14.84,14.55,12.75,14.54,14.08,12.36,12.90,11.14,12.43,8.73,10.30,10.09,10.80,11.03,10.48,10.02,9.90,9.63,11.07,10.86,9.45,10.36,8.85,9.64,10.03,9.80,10.42,9.85,11.07,12.54,14.52,15.02,16.55,17.19,18.83,20.44,21.61
Jordan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,4.76,7.22,11.46,15.79,21.18,23.08
Kazakhstan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.68,10.27,14.33,12.95,12.97,12.88,13.20,13.53,15.46,14.81,16.06,14.05,12.70,12.23,11.37,11.23,9.81,9.09,10.14,9.54,8.68,7.88,9.19,10.88,13.33,12.24,10.78,11.65,12.24,12.38
Kenya,75.00,83.33,84.21,79.17,78.26,84.00,92.00,88.46,93.33,96.77,93.75,96.97,97.06,97.22,94.44,90.00,90.48,84.09,82.61,67.44,51.22,69.57,79.17,84.31,76.36,74.14,71.88,73.85,64.06,56.92,70.83,68.42,76.25,70.11,80.72,86.73,85.57,77.57,86.73,89.29,92.44,92.44
Kiribati,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kosovo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.13,4.08,1.82,0.00,1.64,3.85,1.75,3.39,3.39,5.08,4.76,5.97,6.35
Kuwait,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kyrgyzstan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.63,81.08,91.60,90.16,89.55,87.30,85.96,92.31,86.42,83.33,83.33,87.25,86.96,86.67,86.33,86.67,86.21,92.59,92.44,93.33,93.96,93.53,91.55,85.94,86.61,92.11,92.72,92.72,91.46,89.66
Laos,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,92.00,91.67,91.67,91.43,90.32,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,86.96,70.59,66.67,66.67,64.52,72.50,72.50
Latvia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.57,73.68,75.00,74.36,60.00,65.91,68.18,67.50,70.00,66.67,64.10,60.53,69.57,70.83,58.33,60.87,62.75,64.81,59.02,54.55,70.69,59.32,57.14,53.85,57.38,76.06,55.56,52.46,65.45,64.29
Lebanon,30.77,30.77,22.22,21.43,20.69,22.22,21.43,20.69,21.43,20.00,12.50,17.86,14.71,15.56,16.33,13.46,12.12,11.11,10.13,3.90,4.40,3.16,6.54,10.57,9.09,8.33,6.54,5.17,3.23,4.76,5.41,5.06,6.25,7.51,1.16,2.86,2.17,2.44,2.44,5.47,6.25,5.47
Lesotho,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Liberia,37.50,37.50,37.50,37.50,28.57,37.50,37.50,37.50,37.50,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.56,55.56
Libya,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lithuania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.69,2.90,4.35,3.15,1.97,2.27,2.44,3.23,2.88,2.19,2.52,1.67,2.31,3.79,3.67,4.84,4.96,5.22,20.45,30.56,30.00,40.54,45.45,44.74,64.71,78.79,82.14,80.65,60.00,66.67
Luxembourg,11.11,14.29,20.00,20.00,20.00,20.00,16.67,20.00,16.67,16.67,16.67,16.67,16.67,16.67,33.33,25.00,25.00,25.00,50.00,50.00,50.00,25.00,7.41,7.41,6.25,6.45,8.82,10.00,11.54,10.00,9.38,11.11,14.29,21.05,21.05,35.71,62.50,70.00,72.73,75.00,83.33,76.92
Macau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,28.57,25.00,33.33,33.33
Madagascar,25.00,40.00,50.00,50.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,66.67,66.67,71.43,62.50,62.50,71.43,55.56,62.50,60.00,54.55,54.55,54.55,58.33,58.33,58.33,53.85,53.85,47.06,44.44,45.00,47.62,45.00,36.36,43.48,45.00,35.00,35.00
Malawi,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,80.00,80.00,80.00,81.82,83.33,83.33,84.62,84.62,84.62,85.71,86.67,87.50,87.50,87.50,88.89,88.24,90.00,90.00,90.48,90.48,90.91,90.91,90.91,90.48,88.24,88.24,88.24,85.71
Malaysia,13.73,14.68,11.50,13.39,25.37,25.68,26.67,28.99,30.11,24.53,16.32,16.67,15.75,14.63,17.33,14.35,10.60,6.93,8.45,12.05,11.01,9.64,7.41,7.63,7.46,6.53,7.58,6.93,8.01,7.34,6.30,7.07,8.59,9.85,10.07,11.81,14.19,17.83,17.50,17.79,19.11,18.18
Maldives,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mali,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,66.67,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,57.14,55.56,55.56,60.00,58.33,66.67,63.16,59.09,52.17,62.50,52.17,57.14,48.48,41.67,30.30,31.25,32.35
Malta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,12.50,12.50,10.53,10.00,10.00,14.29
Martinique,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauritania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,12.50,11.11,22.22,20.00,27.27,25.00,20.00,23.53,26.32,27.78,26.32
Mauritius,0.00,0.00,0.00,0.00,0.00,25.00,20.00,20.00,0.00,16.67,0.00,0.00,11.11,11.11,0.00,10.00,11.11,0.00,9.09,23.08,29.41,27.78,27.78,26.32,28.57,23.81,22.73,21.74,25.00,24.00,26.92,23.08,22.22,21.43,21.43,24.14,24.14,20.69,20.69,22.58,25.00,24.14
Mexico,28.13,34.25,30.00,26.83,28.74,29.79,23.71,21.90,23.64,24.58,23.97,23.58,26.84,25.82,19.72,24.32,24.92,19.65,18.41,21.68,20.64,17.88,16.07,13.86,15.41,16.45,16.53,15.17,19.00,13.88,17.00,16.03,14.77,13.59,17.91,15.77,15.56,16.45,16.27,17.24,19.94,22.92
Moldova,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.91,4.12,3.85,5.26,6.90,8.00,8.70,9.52,7.55,7.02,5.26,6.67,6.90,6.67,6.56,6.78,6.67,6.45,6.56,5.26,5.17,6.67,5.66,4.92,3.45,6.12,5.56,7.02,6.45,6.06
Mongolia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.13,3.92,3.85,3.77,3.64,6.56,9.23,10.45,9.86
Montenegro,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.71,61.90,55.56,77.78,69.23,46.15,53.57,64.10,56.67,51.72,60.00,45.83,54.55,53.33,42.86,48.48
Montserrat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Morocco,30.61,18.52,10.34,7.94,6.15,7.58,8.33,10.39,10.71,12.94,13.19,13.79,10.87,4.30,7.77,5.17,15.97,16.03,13.04,6.25,6.78,7.80,6.67,9.64,10.11,6.25,6.25,6.25,6.25,14.57,17.01,10.93,8.76,15.44,13.04,14.97,15.31,14.83,18.84,19.19,18.42,19.90
Mozambique,98.48,94.29,93.75,96.15,85.71,33.33,0.00,0.00,0.00,0.00,60.00,75.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.90,91.43,87.18,84.21,83.33,82.84,80.21,82.05,81.22
Namibia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,88.24,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Nauru,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nepal,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,91.67,93.33,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Netherlands,1.59,1.60,0.52,0.35,0.00,0.67,0.79,1.08,1.21,1.43,1.78,1.84,1.92,2.21,2.41,2.64,3.39,3.74,4.00,4.61,5.01,5.10,5.78,5.82,6.86,9.40,10.24,9.18,10.79,11.21,11.13,12.62,13.90,14.04,13.01,14.03,14.45,16.77,18.68,20.89,27.14,33.16
Netherlands Antilles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,22.22,22.22,22.22,22.22,33.33,33.33,25.00,33.33
New Caledonia,23.08,25.00,44.44,42.86,44.44,45.45,36.36,30.00,45.45,45.45,45.45,27.27,27.27,27.27,33.33,25.00,28.57,26.67,26.67,31.25,26.67,23.53,18.75,18.75,18.75,22.22,16.67,22.22,27.78,22.22,15.00,19.05,22.73,20.83,13.79,14.81,10.00,13.33,13.33,16.13,12.90,14.71
New Zealand,91.70,90.52,80.65,81.78,80.59,76.36,82.76,81.08,81.17,80.65,81.25,78.79,74.07,78.08,83.33,84.75,80.33,72.22,76.92,70.27,73.68,65.79,71.79,67.50,73.81,65.85,66.67,66.67,65.12,73.81,74.42,77.10,72.73,76.19,80.19,81.21,85.45,82.38,84.47,82.76,81.21,82.38
Nicaragua,50.00,45.45,45.45,33.33,55.56,54.55,50.00,50.00,50.00,69.23,57.14,57.14,46.67,56.25,43.75,41.18,38.89,35.29,23.81,25.00,18.18,17.39,22.22,26.92,25.93,30.00,25.81,27.59,37.50,30.56,37.14,35.14,43.59,53.66,55.81,52.27,53.33,56.82,60.00,57.78,60.00,59.57
Niger,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nigeria,39.71,29.49,29.63,22.89,30.23,30.00,31.58,30.56,35.71,33.33,35.83,43.38,42.25,39.57,36.91,39.13,37.76,37.41,38.78,39.61,40.43,39.60,38.68,38.14,34.78,33.92,27.93,27.93,28.93,24.32,24.90,22.48,20.29,19.41,17.49,18.57,25.23,23.55,24.29,26.98,25.93,26.05
Niue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
North Korea,45.45,47.83,44.00,44.00,39.29,38.71,39.39,39.39,42.86,42.86,42.86,42.86,51.85,50.00,51.85,53.85,50.00,50.00,47.62,56.18,53.76,52.63,56.12,57.97,57.42,58.56,56.60,62.80,61.95,59.70,62.50,69.52,70.65,76.92,73.86,73.88,76.92,81.08,83.87,82.09,84.97,83.33
North Macedonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.04,10.20,12.73,13.79,12.90,14.06,16.42,21.54,18.46,10.00,12.28,21.88,23.44,22.73,24.24,16.13,13.56,20.00,34.78,21.88,16.95,27.59,25.49,37.74,38.46,24.53,36.54,23.64,29.41,30.77
Northern Mariana Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norway,99.88,99.89,99.67,99.72,99.72,99.70,99.58,99.51,99.54,99.57,99.83,99.82,99.83,99.83,99.64,99.67,99.52,99.63,99.65,99.59,99.79,99.75,99.77,99.62,99.54,99.63,99.50,99.33,99.57,96.82,96.17,96.60,98.01,97.89,97.87,97.90,97.97,98.04,97.93,97.97,98.64,99.24
Oman,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.55
Pakistan,59.31,57.32,47.96,51.89,51.38,45.63,47.62,46.15,45.70,43.59,46.70,45.69,45.16,42.79,43.73,44.66,40.15,37.67,37.04,30.65,26.81,27.54,30.22,34.70,30.90,34.29,33.86,31.01,31.93,31.32,34.88,31.65,31.54,32.26,32.53,32.95,29.74,25.74,31.36,30.86,32.21,30.67
Palestinian Territories,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,25.00,22.22
